timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp_marked
299635749,0.86829025,0.025980877,-0.0942585,0.48632568,1.4966377,-0.32603055,9.507162,7.866936,3.7211604,-30.767246,0
299652416,0.87128,0.02747821,-0.09249434,0.4812079,2.0103674,-0.5054192,9.436839,10.653267,7.213562,-40.90546,0
299669083,0.87445676,0.02898492,-0.09096868,0.47561568,2.3888474,-0.50799394,9.609421,9.58344,5.783204,-44.32729,0
299685750,0.87645495,0.030162819,-0.09088384,0.47186556,2.2944703,-0.5473472,9.476532,4.282309,-2.1734622,-28.905033,0
299702417,0.8770722,0.030867802,-0.092311375,0.4703938,1.4146256,-0.1824653,9.407512,-1.7636534,-10.142585,-10.086712,0
299719084,0.8773266,0.031150432,-0.0931485,0.4697353,0.80228764,0.1332151,9.416344,-1.8080008,-5.2743597,-3.8667495,0
299735751,0.8777386,0.031364452,-0.09244326,0.4690903,1.534929,-0.046656195,9.728378,2.7338037,4.353398,-4.579539,0
299752418,0.87845683,0.031854216,-0.09144568,0.46790677,2.1661816,-0.3882355,9.758773,4.9321694,5.3063836,-9.0559635,0
299769085,0.8793403,0.03230934,-0.09152248,0.4661981,2.3168895,-0.61703324,9.429805,0.90031886,-1.0818809,-12.502717,0
299785752,0.88050634,0.032682154,-0.09238029,0.4637959,1.9995375,-0.2831254,9.720082,-2.5992823,-5.5156374,-17.375664,0
299802419,0.88172126,0.033093926,-0.092733055,0.46138167,1.9274888,-0.26307002,9.919132,-0.7714939,-2.5539093,-17.74286,0
299819086,0.8819885,0.03358716,-0.09333488,0.4607135,1.2463727,0.08669559,9.8538065,0.26107666,-4.5292087,-4.1468883,0
299835753,0.8823211,0.03396657,-0.09272214,0.4601726,1.2535639,-0.02591021,9.68138,3.4843326,3.2671368,-3.78849,0
299852420,0.88315964,0.034249045,-0.09138839,0.45880786,2.0001996,-0.4606509,9.637811,4.533817,8.077132,-10.494468,0
299869087,0.88424194,0.03449623,-0.09015162,0.4569452,2.027934,-0.31052202,9.53442,3.6437492,7.635582,-14.241546,0
299885754,0.8852151,0.034690622,-0.089854695,0.45510116,2.213689,-0.4366302,9.453357,0.40770957,2.0246913,-13.530005,0
299902421,0.8860258,0.034462027,-0.09026011,0.45345792,2.0062487,-0.3915028,9.313407,-4.201164,-0.97844404,-11.370739,0
299919088,0.88663393,0.033910725,-0.090827934,0.4521956,1.3806471,-0.12855484,9.404635,-6.388745,-0.99693626,-8.179906,0
299935755,0.8870258,0.033682123,-0.09093604,0.45142204,1.314414,0.28667033,9.973208,-2.6367383,0.7806559,-4.837164,0
299952422,0.88757575,0.03384751,-0.090036385,0.45050788,1.8480144,-0.034951206,9.970584,2.768804,5.769499,-6.6645026,0
299969089,0.8883176,0.034180425,-0.08891979,0.4492402,1.9462621,-0.2981648,9.567807,4.1994157,6.611032,-9.570626,0
299985756,0.8894659,0.03428693,-0.087716065,0.44719216,1.983,-0.4298388,9.366631,2.513281,7.907501,-15.474441,0
300002423,0.89058477,0.033802737,-0.08728603,0.44508126,1.9485615,-0.47507888,9.233919,-3.508508,4.9599485,-15.229273,0
300019090,0.89142376,0.032578565,-0.08762919,0.44342253,1.8183609,-0.6220099,9.1059265,-10.068732,2.4274967,-10.980775,0
300035757,0.8921537,0.030588498,-0.08789594,0.44204152,1.1904503,-0.26368052,9.16375,-14.337491,5.227346,-8.501697,0
300052424,0.8930891,0.028584398,-0.08771168,0.44031984,1.5347462,0.0057529304,9.9688,-13.301908,8.088481,-11.302578,0
300069091,0.89387274,0.027359461,-0.087556146,0.4388361,1.9225523,-0.024225295,10.269714,-8.431398,5.5081873,-9.845245,0
300085758,0.89548033,0.026365759,-0.08673155,0.4357725,1.7300681,-0.79564774,9.713615,-6.097936,9.121196,-22.30643,0
300102425,0.8988752,0.024135407,-0.08649106,0.42890623,1.550093,-1.3059523,9.084626,-18.052773,9.606635,-50.230286,0
300119092,0.9017303,0.020826092,-0.08745065,0.4228487,1.5500294,-0.39205658,9.241251,-27.688099,5.185064,-42.800037,0
300135759,0.9035996,0.016934,-0.088291205,0.4188385,1.1635494,-0.11344642,9.022649,-29.582676,7.317444,-26.908209,0
300152426,0.90532213,0.013405912,-0.08764164,0.41536862,1.3144383,0.29178548,10.176456,-22.685373,15.500256,-23.522991,0
300169093,0.9064633,0.010880417,-0.08675083,0.41313466,1.7453532,-0.16309206,10.316936,-14.958132,13.901777,-14.7963085,0
300185760,0.9074343,0.008628901,-0.085669674,0.41127765,1.3988402,-0.37111992,9.872066,-12.472816,14.23653,-12.140888,0
300202427,0.9084128,0.006031983,-0.08481632,0.409336,1.3268315,-0.4655036,9.734596,-15.322304,13.791167,-12.473461,0
300219094,0.9094204,0.0032230339,-0.08402818,0.40728816,1.146875,-0.4590453,9.732741,-16.893293,13.992962,-13.09218,0
300235761,0.91089004,7.211921e-05,-0.082992405,0.4042177,0.92559403,-0.7300353,9.469077,-18.939102,16.742846,-20.58805,0
300252428,0.91267186,-0.0027061973,-0.08204654,0.40036407,1.0948848,-0.22666146,9.957859,-17.302336,15.321576,-26.572792,0
300269095,0.9140646,-0.0046551544,-0.080788404,0.3974136,1.2661607,-0.066085696,10.270358,-10.736718,14.76126,-20.297104,0
300285762,0.9150652,-0.0061418843,-0.080606624,0.39512092,1.2109035,-0.42749178,9.942725,-10.420541,6.494794,-15.382638,0
300302429,0.915715,-0.0077275974,-0.081326075,0.39343658,1.4502035,-0.8183278,9.659717,-13.169551,0.8733875,-10.585816,0
300319096,0.91621345,-0.009879503,-0.08320061,0.39183298,1.02428,-1.1946139,9.422529,-19.82156,-4.956168,-9.412875,0
300335763,0.9172803,-0.013181291,-0.08265724,0.389347,0.78886414,-0.8173488,8.76339,-21.016819,13.757485,-15.679922,0
300352430,0.9181209,-0.01663472,-0.08146978,0.38747892,1.0413874,-0.57537836,9.794956,-19.9183,18.04057,-11.034188,0
300369097,0.918944,-0.019436939,-0.080098145,0.38567936,1.2782364,-0.5208856,10.261465,-15.280701,17.450249,-10.89718,0
300385764,0.9200304,-0.02163772,-0.07833125,0.3833281,1.2148036,-0.75489396,10.088327,-10.701742,18.57145,-15.360049,0
300402431,0.92075706,-0.023650425,-0.07728746,0.38167253,1.0198448,-0.5126448,9.914576,-11.096844,13.204317,-10.220722,0
300419098,0.9212874,-0.02569657,-0.07602226,0.38051292,1.1038308,-0.99112517,9.571803,-10.496416,14.508632,-6.511895,0
300435765,0.9216035,-0.02815059,-0.07487646,0.37980005,0.9188592,-0.9969651,9.318697,-13.19668,14.628401,-2.9297,0
300452432,0.9217734,-0.030690858,-0.073823154,0.3793971,0.6336923,-0.9801957,9.663519,-13.853416,14.132166,-0.55719227,0
300469099,0.9222628,-0.033071183,-0.072149225,0.37832844,0.9728199,-0.8119464,10.201603,-11.491452,17.950327,-5.56077,0
300485766,0.92265505,-0.034701392,-0.07062855,0.37751168,1.1673526,-0.7377471,10.547221,-7.0311275,14.921979,-4.118283,0
300502433,0.9228746,-0.035858277,-0.069741994,0.3770315,1.2640066,-1.0809852,10.01684,-5.5525794,9.506753,-1.916074,0
300519100,0.92290246,-0.036669854,-0.06892877,0.37703484,1.1053631,-1.0212461,9.877206,-3.3671353,7.935577,1.4659109,0
300535767,0.92285454,-0.037283037,-0.067867555,0.37728426,0.9174213,-1.0436791,9.827269,-1.3681667,8.897015,3.1919513,0
300552434,0.9227262,-0.03779407,-0.06660997,0.3777715,0.76232105,-1.0139462,9.678317,-0.120494984,9.779541,4.912422,0
300569101,0.9223792,-0.038410604,-0.065601036,0.37873232,0.78152686,-1.0288038,9.620067,-1.2756922,8.252665,8.468644,0
300585768,0.92211884,-0.0393729,-0.064938284,0.37938097,0.8533619,-1.2312865,9.413839,-4.48773,7.079218,6.327242,0
300602435,0.922123,-0.04046928,-0.06424197,0.37937376,1.0993364,-1.1753244,9.656105,-5.4715285,7.9374886,1.5489478,0
300619102,0.9219592,-0.041182786,-0.06387751,0.37975666,1.0014659,-1.0028038,9.96697,-3.7840972,4.6522593,4.1985307,0
300635769,0.9215086,-0.04135604,-0.06369291,0.38086054,0.7806749,-0.9477627,10.115096,-0.59392023,1.771727,9.2290325,0
300652436,0.92084867,-0.04108154,-0.06329914,0.38254872,0.63383245,-0.94005173,10.148777,2.9865255,1.6667538,13.343192,0
300669103,0.92005247,-0.04051176,-0.062347703,0.38467512,0.5736262,-1.0183444,10.084114,6.4746866,4.2375298,16.504824,0
300685770,0.91943145,-0.03993023,-0.060967952,0.3864381,0.75114083,-1.2567456,9.786306,7.57456,7.091888,13.856938,0
300702437,0.9191065,-0.03942149,-0.06046901,0.3873406,1.3478671,-1.431621,9.694572,4.4947424,2.0778117,7.4194193,0
300719104,0.9188328,-0.038675673,-0.06075005,0.38802093,1.0580491,-1.1140141,9.865753,3.837545,-3.4004447,5.570193,0
300735771,0.91841996,-0.037709493,-0.060878552,0.3890717,0.70503134,-0.883836,9.974695,5.754221,-3.1809442,8.22919,0
300752438,0.9173539,-0.036579568,-0.06051496,0.39174193,0.36134505,-0.8272414,9.758052,8.612701,-1.204849,20.261288,0
